pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text,รหัสวิชา,90,0.584699,,0.422222,0,428,0,52,732
text,ชื่อวิชา (ไทย) ⭐,90,0.679798,0.725702,0.288889,40,1827,14,52,2767
text,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0,0,2659,0,90,2659
text,หน่วยกิต,90,0.605295,,0.377778,0,503,0,52,831
text,ปี/ภาค,90,0.577778,,0.422222,0,156,0,52,270
text,หมวดวิชา,90,0.790792,,0.177778,31,948,0,70,1238
text,บังคับ/เลือก,90,0.779835,,0.2,10,369,0,70,486
text,วิชาบังคับก่อน,38,0.158416,,0.894737,20,12,0,0,202
text,ปี/ภาคยืดหยุ่น,38,0.0,,1.0,0,0,0,0,0
vlm,รหัสวิชา,90,0.879781,,0.122222,0,644,0,79,732
vlm,ชื่อวิชา (ไทย) ⭐,90,0.900614,0.915767,0.088889,2,2465,25,79,2767
vlm,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0,0,2659,0,90,2659
vlm,หน่วยกิต,90,0.894103,,0.122222,0,743,0,79,831
vlm,ปี/ภาค,90,0.877778,,0.122222,0,237,0,79,270
vlm,หมวดวิชา,90,1.0,,0.0,0,1238,0,90,1238
vlm,บังคับ/เลือก,90,1.0,,0.0,0,486,0,90,486
vlm,วิชาบังคับก่อน,11,0.262295,,0.818182,10,6,0,0,61
vlm,ปี/ภาคยืดหยุ่น,11,0.0,,1.0,0,0,0,0,0
